project,date,commit_hash,files,async_list_comprehensions,async_set_comprehensions,async_dict_comprehensions,async_generator_expressions,async_list_comprehensions_files,async_set_comprehensions_files,async_dict_comprehensions_files,async_generator_expressions_files,matrix_multiplication,matrix_multiplication_files,async_def,await_expressions,async_for,async_with,async_def_files,await_expressions_files,async_for_files,async_with_files,fstring,fstring_files,except_star,except_star_with_group,except_star_without_group,raised_exception_group,caught_exception_group,exception_groups,except_star_files,exception_group_files,pattern_match,pattern_as,pattern_or,pattern_sequence,pattern_mapping,pattern_class,pattern_value,pattern_singleton,pattern_star,pattern_match_files,pattern_as_files,pattern_or_files,pattern_sequence_files,pattern_mapping_files,pattern_class_files,pattern_value_files,pattern_singleton_files,pattern_star_files,assign_unpack,list_unpack,tuple_unpack,set_unpack,dict_unpack,call_kwargs_unpack,call_args_unpack,assign_unpack_files,list_unpack_files,tuple_unpack_files,set_unpack_files,dict_unpack_files,call_kwargs_unpack_files,call_args_unpack_files,nonlocal,nonlocal_files,function_args_annotation,function_return_annotation,function_args_annotation_files,function_return_annotation_files,function_with_annotation,function_with_annotation_files,function_without_annotation,function_without_annotation_files,kw_defaults,kw_args,kw_defaults_files,kw_args_files,type_vars_bounds,type_vars_constraints,type_param_spec,type_var_tuple,type_vars_bounds_files,type_vars_constraints_files,type_param_spec_files,type_var_tuple_files,yield_from,yield_from_files,assignment_expression,assignment_expression_files,variable_annotation,variable_annotation_files,assign,assign_files,assign_with_type_comment,assign_with_type_comment_files,aug_assign,aug_assign_files,suppressing_exception_context,suppressing_exception_context_files,statements,errors
the-tale_the-tale,2011-06-24,9605499a28ed2a34c03594fd18780a6f77f000e5,0,0
the-tale_the-tale,2011-08-04,85975ea3c233654581f4fb22fc3b4a0972eea6a9,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,82,0,0,6,4,0,0,2332,1
the-tale_the-tale,2011-09-07,c31a40ebdea6a41cf835f95417a2f16fe7d07268,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959,96,0,0,21,12,0,0,3012,5
the-tale_the-tale,2011-10-08,5a2e7bef982344ec52530da75c354a03d5c80ab9,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,121,0,0,24,15,0,0,3706,5
the-tale_the-tale,2011-11-13,a36779a49a4bf2f60abae15078f593db30a40ab7,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1258,122,0,0,32,16,0,0,3930,5
the-tale_the-tale,2011-12-17,d99ccb3ed01722bbf697bf61d94002fe36ced928,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1413,140,0,0,36,16,0,0,4399,5
the-tale_the-tale,2012-01-21,a06dbc198bcf1c66d5fee638049cc542605ba24f,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1748,155,0,0,55,19,0,0,5323,6
the-tale_the-tale,2012-02-20,438d05ea9399c0d9e465cb894fe87cfadc06d3dd,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1776,207,0,0,50,17,0,0,5576,13
the-tale_the-tale,2012-03-24,05bf0cec14fc6baadd219c31471ed0825ca5cdd1,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2031,229,0,0,50,17,0,0,6475,15
the-tale_the-tale,2012-04-24,abe849f29e51d9c36ba8ec1bf02a316b3bb4fd99,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2237,252,0,0,52,16,0,0,7618,15
